disease,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,Energy,yellow_ratio,skewness_x,skewness_y,kurtosis_x,kurtosis_y
5,40.41966248,59.81365967,36.29165649,52.36530063,75.22315804,48.44177862,247.5299179,0.970854935,0.571296898,7.205209488,0.497220521,0,-0.53317497,-0.299287517,2.587003753,2.01113673
5,26.17454529,45.43710327,23.55937195,34.76101584,57.1848297,32.36862461,115.6506688,0.974281288,0.593669874,6.73152828,0.50275461,0,0.368849197,-0.128280084,2.279126085,2.18027096
5,26.9533844,43.5196228,19.46853638,37.81236372,57.78896358,28.76996725,101.2502414,0.978269846,0.631553194,6.211568109,0.552333677,0,0.111508959,0.270859111,1.861547186,2.531015387
6,13.13421631,22.06047058,16.16404724,32.87810811,46.86179621,36.62413869,270.504669,0.921001403,0.739819413,4.752862285,0.677673458,0,-0.341792018,-0.213936296,2.669367344,2.113924237
9,19.73045349,28.64385986,17.73962402,37.73997465,49.63149109,33.11116561,221.7019456,0.942704623,0.688216963,5.469668902,0.640303135,0,0.070530145,-0.257454327,2.267309064,2.176852003
6,29.56503296,42.90446472,38.09356689,40.64419522,55.37871639,50.45030989,273.7895265,0.946033807,0.556567046,7.44087623,0.491363019,0,0.008562893,-0.166269587,2.222380419,2.058057952
7,45.89160156,55.85385132,43.52786255,59.46398373,70.93077949,56.43451307,220.6386001,0.974546253,0.591337173,6.814394405,0.530414161,0,-0.04063469,-0.222969601,2.102643201,2.179762542
6,19.98501587,31.83088684,21.50254822,35.39617292,53.04116356,38.02764962,160.2671231,0.962121441,0.688107661,5.485605742,0.633931796,0,0.180617196,-0.176387403,2.262601832,2.065047215
9,34.49964905,50.78689575,29.432724,43.71220745,61.75483293,36.85959469,133.1741131,0.976616475,0.568239171,7.211255244,0.491644339,0,-0.115516907,-0.271142678,2.210706726,2.564269113
9,21.02882385,30.78083801,20.96820068,38.83511289,53.2398582,38.0757057,166.6361633,0.962511503,0.695086517,5.42519222,0.641195765,0,-0.095589,-0.425017615,2.083112185,2.1873584
9,25.11473083,38.66603088,18.01759338,41.49208864,57.29441256,29.96142609,168.1044779,0.965092369,0.633975611,6.312439304,0.574719629,0,-0.039403049,-0.043114742,2.071630195,1.958043965
9,27.24108887,49.19221497,28.53901672,34.98981323,54.91792105,35.66974648,216.1297694,0.949605359,0.49531206,8.351866997,0.403908375,0,-0.074697209,-0.114941936,2.033712592,2.118045413
6,20.61949158,33.18421936,23.60575867,35.83088897,49.8718207,37.8534017,236.1357798,0.939490738,0.611909219,6.690579316,0.552775972,0,-0.023217332,-0.40344774,2.190350404,2.427122972
6,23.20849609,36.21401978,29.75900269,38.73698455,53.86792033,46.71711981,435.6424067,0.907029717,0.603857298,6.882353432,0.537563189,0,-0.156513675,-0.214188967,2.477724327,2.198815983
9,35.87866211,51.18119812,26.45791626,48.1081639,65.16543879,36.28289269,198.0807644,0.968999974,0.581671109,7.062451515,0.514056851,0,0.173901494,-0.041935632,2.074227409,2.23787611
1,19.25280762,28.98860168,21.53509521,29.35529578,42.03165451,32.88830234,68.80142493,0.975023721,0.65089894,5.967130653,0.569699676,0,0.172163757,-0.350009287,2.039775041,2.202128962
1,21.91688538,29.75398254,16.09190369,39.46208869,52.19949842,30.46076655,137.1944512,0.967178942,0.711872382,5.004901525,0.6580002,0,0.042429984,-0.38066181,1.750353331,2.297050836
9,18.83711243,27.56646729,17.93360901,35.41410433,47.90123705,33.14744461,230.8624045,0.935668953,0.678871699,5.632151855,0.618406459,0,0.360302629,0.216104227,2.382066393,2.091401834
1,34.34132385,50.49291992,38.43399048,38.26586265,52.24491875,42.5413582,243.2634285,0.944561167,0.468021962,8.64068056,0.382025945,0,-0.140437954,-0.004309726,2.192817251,2.055327197
6,16.80703735,29.54669189,22.4302063,33.32791206,49.79338124,39.88423815,318.8461032,0.915824262,0.682258356,5.604716645,0.635538266,0,-0.057428229,-0.120235461,2.256360207,2.106152877
2,50.11233521,66.599823,44.7019043,47.80407577,62.39595844,42.92000794,156.3509028,0.974817347,0.46666312,8.142688869,0.384924048,0,-0.04310204,-0.121894937,2.155480196,2.048931302
3,44.84042358,53.26023865,34.71464539,52.85122487,62.0549824,43.6181255,194.3262352,0.970025144,0.527813991,7.84564347,0.445783552,0,0.18953253,0.202346705,2.335275804,2.20400001
4,21.02957153,28.71188354,15.26504517,40.69228665,54.00740789,29.9941406,67.28895929,0.984918712,0.766740318,4.152036483,0.713174392,0,0.137450091,0.043333786,2.151225616,2.315436884
9,23.22164917,33.62916565,22.03515625,41.6112757,53.9173826,38.09516094,183.9392566,0.960433768,0.65265543,6.082814351,0.59559735,0,0.157421902,-0.237615414,2.02902551,2.134067796
4,23.82945251,35.63478088,20.11253357,35.88122054,50.92432181,30.86590246,116.0353104,0.97004602,0.645191217,6.038796378,0.574800702,0,-0.167098255,-0.392665679,2.06625316,2.215041159
0,31.9598999,50.30543518,36.3739624,34.03690996,50.66664759,38.39581449,131.1199744,0.966262545,0.49646429,8.143179534,0.384907736,0,0.079263419,-0.017630516,1.99857948,2.148581882
6,31.89175415,52.56211853,41.36282349,42.40373441,61.32127364,50.57725625,479.9100218,0.918433974,0.496793279,8.441036953,0.437532068,0,0.009005455,-0.228792659,2.181250189,2.211706804
6,15.7243042,24.01937866,17.65008545,32.07670097,44.21163249,34.80451208,262.2095443,0.915772787,0.694076489,5.395884221,0.642505729,0,-0.002676662,-0.163442581,2.311931684,2.191501086
9,31.8861084,51.79673767,20.82263184,43.80071731,64.47294574,30.23324758,169.3740048,0.970867115,0.56166807,7.4205319,0.475092971,0,0.018017277,0.231315292,2.130921648,2.52153119
7,40.40379333,49.28160095,37.52276611,56.26839454,67.40032291,52.64867081,220.5960851,0.971669016,0.618698944,6.502801121,0.554993824,0,-0.057285337,-0.16118574,2.168664579,2.4812488
0,31.72512817,45.47140503,32.1230011,44.00148571,60.89740924,44.87612097,181.0509249,0.968916494,0.600194645,6.748334372,0.529707252,0,0.221817428,-0.434464935,2.548219987,2.316355857
9,20.30172729,29.90911865,16.01342773,35.54441433,47.62591355,27.9731066,167.1903362,0.951543664,0.658234974,5.938590175,0.601277836,0,0.534783292,-0.072780107,2.382578693,2.196210482
2,26.86410522,34.53935242,24.47694397,48.65595454,61.93129178,44.46647447,112.4755814,0.982100526,0.750957882,4.283578671,0.704768558,0,0.037044442,-0.00432882,2.015608169,2.041979084
6,22.47787476,33.38438416,19.73410034,40.61826377,57.43576708,37.07905596,130.9802296,0.973841657,0.704091833,5.236156894,0.649678369,0,0.166842107,-0.159996852,2.358130397,1.978696882
9,29.83979797,47.36849976,28.07281494,41.37593765,58.0690684,37.98228896,206.0598287,0.959411108,0.542076627,7.726073711,0.463556626,0,0.065346306,-0.191558566,2.121333758,2.12226162
7,34.39103699,52.25747681,35.57354736,44.90147599,64.13249574,46.64600339,229.8172406,0.963721265,0.55677111,7.446943586,0.487963273,0,-0.092491563,-0.137702535,2.067330886,1.962369702
2,32.50440979,44.08360291,31.33636475,43.90376208,58.86850645,42.18464277,99.90483316,0.981883368,0.642249323,5.734372309,0.561584249,0,0.127350108,-0.215527649,2.211519401,2.215836328
7,40.98072815,63.34216309,45.4934845,45.69766204,66.33093447,50.35933276,210.43494,0.968895945,0.488647936,8.39800909,0.406185688,0,-0.032997015,-0.24597178,2.044140359,2.297091666
6,27.9553833,46.75192261,36.56181335,42.40840449,61.34748783,50.98659737,616.1447028,0.895453013,0.540938462,7.870446925,0.479410477,0,-0.018014033,-0.354610688,2.303630508,2.263439788
9,23.77514648,35.46412659,24.8183136,38.33709068,53.09675198,38.95760127,216.6383893,0.950898483,0.605241539,6.785246477,0.530527913,0,0.151707206,0.260128435,2.232886351,2.288849561
2,18.77394104,25.84335327,15.9524231,38.47223364,52.63601415,32.77351238,71.14908166,0.983329376,0.798279675,3.509331684,0.750052713,0,0.08598163,-0.170303325,2.272286042,2.009380981
9,32.25299072,44.45030212,28.77998352,45.28214423,58.35666673,38.87782843,211.0734463,0.961012364,0.589638949,6.93023339,0.533845193,0,-0.00748681,-0.048384178,2.071687521,2.133287683
3,22.96946716,33.83918762,20.57278442,36.48516124,51.2466412,32.51269162,101.0015521,0.97454028,0.686227054,5.510672653,0.581526734,0,-0.003830004,-0.030656265,2.796492005,2.035640609
3,29.76080322,41.19108582,31.20428467,38.96395428,49.6899002,39.12427635,183.233896,0.954890166,0.524394985,7.825252395,0.436709947,0,0.080428473,-0.21988296,2.22652414,2.189409712
3,32.89204407,39.36691284,22.86276245,48.48089998,57.01998219,34.90576252,140.5803917,0.973919864,0.627946496,6.352705123,0.564618579,0,-0.429437565,0.21517671,2.361545222,2.341665405
6,30.26412964,39.49232483,27.81652832,49.27542587,61.94834965,46.16821844,232.430623,0.963424758,0.667494531,5.812233321,0.621575568,0,0.293959107,-0.222767606,2.212451039,2.040052257
9,22.99385071,36.98323059,24.1340332,32.60781127,47.67708474,33.06636741,155.9522103,0.954241396,0.569556277,7.178091353,0.493860391,0,0.150077152,0.382373756,2.224191978,2.62047269
6,23.37799072,34.70907593,22.52035522,39.23937269,56.6161479,37.76286144,130.1662078,0.973204195,0.70094993,5.173930162,0.647600632,0,0.029612278,-0.29719402,2.273296089,2.30351571
1,23.10527039,34.60346985,18.11361694,33.12536315,46.08930467,30.07397445,115.1390139,0.963995068,0.600763298,6.790399448,0.504641876,0,-0.608761616,-0.416128972,2.40588885,2.15117183
3,24.86444092,38.14595032,19.5650177,42.86095671,63.69265202,33.81028031,124.0372459,0.978653181,0.711921937,5.00564313,0.637637913,0,0.300747947,-0.018289114,2.502199125,1.962586914
0,23.39213562,36.63520813,30.83181763,30.81587705,46.48540209,40.00851508,108.5854712,0.967689625,0.595707795,6.691545895,0.504259555,0,-0.064250287,-0.385022784,2.328002421,2.227594491
9,14.23699951,23.82945251,13.71138,27.44880459,42.21617096,26.16740393,129.2626231,0.949613672,0.721365793,4.870579397,0.672521967,0,-0.018760651,0.056129621,1.954468338,2.04538937
2,36.53671265,53.58183289,31.72679138,41.64824986,60.05133469,36.41461965,123.4175794,0.976980086,0.55297975,6.989477402,0.46731948,0,0.018798478,-0.210957536,2.338134131,2.022543772
2,51.86479187,66.56976318,45.83522034,62.95757075,80.19099791,55.81353554,154.6911697,0.985191692,0.586562781,6.643323477,0.505805135,0,-0.01812587,-0.283615239,2.282307152,2.013806465
2,39.57667542,51.39729309,31.34356689,54.56400351,68.61013479,45.10089097,339.718707,0.955354184,0.58054754,7.168026755,0.529169308,0,-0.064655361,-0.369740613,2.171812482,2.160675876
1,47.75361633,62.61508179,44.85002136,46.62359546,59.00511691,44.32135031,208.3429003,0.963431569,0.425681039,9.114887794,0.334414319,0,0.080976222,-0.028770875,2.068265867,2.033689389
6,38.41453552,47.11773682,36.67124939,53.93071814,63.86942412,52.21731291,298.0534752,0.958026115,0.597315601,6.884272798,0.541156893,0,-0.258647908,-0.363041323,2.301285134,2.345396568
4,26.72792053,39.27310181,25.50888062,42.82140567,59.90798532,39.58128604,164.4871298,0.970046768,0.663065875,5.776841742,0.606696982,0,0.057373722,-0.415628541,1.846460762,2.563767064
4,21.17617798,32.43574524,18.62464905,34.63476466,49.30596709,29.91410885,142.2810047,0.960658968,0.642215914,6.102478083,0.572411467,0,0.410025915,0.161645372,2.381633851,1.935694347
9,25.99745178,39.25801086,24.27711487,37.86369504,53.17765232,33.76165713,89.18219435,0.979121415,0.621587026,6.476444867,0.539568965,0,-0.171291303,-0.047849974,1.977086885,2.165644743
7,42.1600647,53.38459778,44.90229797,53.27275622,65.74331216,56.43937975,307.0404209,0.958686385,0.555194603,7.459647195,0.500346625,0,-0.00089946,-0.22276441,2.149843455,2.210852511
0,40.73469543,58.63529968,44.02168274,38.76233622,53.82119058,41.97454938,154.261364,0.966291727,0.437427091,8.795702643,0.344482242,0,0.081437211,-0.081874981,2.035122822,1.854642138
0,27.38380432,42.46755981,31.89797974,32.56727871,48.69442712,37.12883821,103.5453933,0.971260507,0.55763387,7.01124045,0.465758844,0,0.066430715,-0.216124314,2.26283864,2.117763617
1,39.83860779,50.1965332,32.72480774,56.79522516,70.63451638,47.80381577,194.6593314,0.976142416,0.633061195,6.184264645,0.579072534,0,0.089159571,-0.162688906,2.094499174,1.963570073
7,34.76091003,52.63323975,36.04652405,44.66842713,65.15404164,46.31133746,215.4948343,0.966616567,0.571401767,7.129378053,0.507335522,0,-0.020863983,-0.125459859,2.062511759,2.004917957
1,24.37081909,33.67631531,24.04554749,33.16775652,43.76471095,34.73125211,131.0839014,0.957828224,0.574709092,7.072563348,0.485696016,0,-0.334528673,-0.304830767,2.562360726,1.927471565
6,14.11030579,22.84159851,17.52778625,28.61393893,40.74639364,33.32815416,289.9817357,0.889177338,0.679512829,5.623715694,0.61533818,0,0.010737134,-0.176397827,2.620727884,2.035093804
